"title","url","date","topics"
"Foxconn Reverses Course on Wisconsin Project","https://www.allsides.com/story/foxconn-reverses-course-wisconsin-project","2019-01-30","Business"
"Trump Says Border Security Committee Must Consider Border Wall or Barrier","https://www.allsides.com/story/trump-says-border-security-committee-must-consider-border-wall-or-barrier","2019-01-30","White House"
"Kamala Harris Holds CNN Town Hall After Announcing 2020 Candidacy","https://www.allsides.com/story/kamala-harris-holds-cnn-town-hall-after-announcing-2020-candidacy","2019-01-29","Election: Presidential"
"Mueller Probe Close To Being Completed","https://www.allsides.com/story/mueller-probe-close-being-completed","2019-01-29","National Security"
"U.S. and Taliban Agree to Draft Peace Deal","https://www.allsides.com/story/us-and-taliban-agree-draft-peace-framework","2019-01-28","Terrorism"
"Trump Blasts Potential Presidential Candidate and Former Starbucks CEO Howard Schultz","https://www.allsides.com/story/trump-blasts-potential-presidential-candidate-and-former-starbucks-ceo-howard-schultz","2019-01-28","Election: Presidential"
"'With or without congress,' Trump Will Secure Border Wall Mulvaney Says","https://www.allsides.com/story/or-without-congress-trump-will-secure-border-wall-mulvaney-says","2019-01-27","White House"
"Shutdown Ends While Border Wall Negotiations Continue","https://www.allsides.com/story/shutdown-ends-border-wall-negotiations-continue","2019-01-26","Politics"
"Trump Agrees to Short-Term Deal to End Government Shutdown","https://www.allsides.com/story/trump-agrees-short-term-deal-end-government-shutdown","2019-01-25","Politics"
"Former Trump Adviser Roger Stone Indicted By A Federal Grand Jury","https://www.allsides.com/story/former-trump-adviser-roger-stone-indicted-federal-grand-jury-0","2019-01-25","Politics"
"Senate Rejects Competing Proposals to Open Government","https://www.allsides.com/story/senate-rejects-competing-proposals-open-government","2019-01-24","US Senate"
"Trump Delays State Of The Union Address Until Shutdown Ends","https://www.allsides.com/story/trump-delays-state-union-address-until-shutdown-ends","2019-01-24","White House"
"New York Passes Law Expanding Abortion Rights","https://www.allsides.com/story/new-york-expands-abortion-law","2019-01-23","Abortion"
"Covington High School Student Speaks Out Amid Controversy","https://www.allsides.com/story/covington-high-school-student-speaks-out-amid-controversy","2019-01-23","Politics"
"Senate to Vote on Dueling Bills to End Shutdown","https://www.allsides.com/story/senate-vote-dueling-bills-end-shutdown","2019-01-22","US Senate"
"Supreme Court Allows Partial Ban On Transgender Troops To Take Effect","https://www.allsides.com/story/supreme-court-allows-partial-ban-transgender-troops-take-effect-0","2019-01-22","Supreme Court"
"Understanding Racial Inequality","https://www.allsides.com/story/understanding-racial-inequality","2019-01-21","Inequality"
"Video Between Student And Native American Draws Controversy","https://www.allsides.com/story/video-between-student-and-native-american-draws-controversy","2019-01-21","Politics"
"Martin Luther King Jr. Day 2019","https://www.allsides.com/story/martin-luther-king-day-2019-0","2019-01-21","Holiday"
"Martin Luther King Day 2019","https://www.allsides.com/story/martin-luther-king-day-2019","2019-01-21","Holiday"
